<><><><><><><><> 
Begin: 26-Feb-2014 10:47:08 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s00 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.290 0.999 
0.267 0.301 0.848 
0.417 0.011 0.011 
0.850 0.011 0.011 
0.234 0.011 0.011 
0.951 0.011 0.011 
0.785 0.011 0.011 
0.601 0.011 0.011 
0.666 0.011 0.011 
0.384 0.011 0.011 
0.568 0.011 0.011 
0.968 0.011 0.011 
0.634 0.011 0.011 
0.617 0.011 0.011 
0.383 0.011 0.011 
0.600 0.011 0.011 
0.701 0.011 0.011 
0.750 0.011 0.011 
0.518 0.011 0.011 
0.500 0.011 0.011 
1.001 0.011 0.011 
0.234 0.011 0.011 
0.917 0.011 0.011 
0.935 0.011 0.011 
0.834 0.011 0.011 
0.283 0.011 0.011 
0.417 0.011 0.011 
0.468 0.011 0.011 
0.751 0.011 0.011 
0.317 0.011 0.011 
0.784 0.011 0.011 
0.285 0.011 0.011 
0.733 0.011 0.011 
0.600 0.011 0.011 
0.819 0.011 0.011 
0.766 0.011 0.011 
0.933 0.011 0.011 
0.918 0.011 0.011 
0.468 0.011 0.011 
0.766 0.011 0.011 
0.366 0.011 0.011 
0.234 0.011 0.011 
0.801 0.011 0.011 
0.601 0.011 0.011 
0.585 0.011 0.011 
0.934 0.011 0.011 
0.683 0.011 0.011 
0.702 0.011 0.011 
0.884 0.011 0.011 
0.850 0.011 0.011 
0.667 0.011 0.011 
0.350 0.011 0.011 
0.400 0.011 0.011 
0.918 0.011 0.011 
0.233 0.011 0.011 
0.600 0.011 0.011 
0.333 0.011 0.011 
0.983 0.011 0.011 
0.767 0.011 0.011 
0.602 0.011 0.011 
0.585 0.011 0.011 
0.251 0.011 0.011 
0.750 0.011 0.011 
0.234 0.011 0.011 
0.266 0.011 0.011 
0.618 0.011 0.011 
0.283 0.011 0.011 
0.851 0.011 0.011 
0.851 0.011 0.011 
0.784 0.011 0.011 
0.317 0.011 0.011 
0.734 0.011 0.011 
0.617 0.011 0.011 
0.985 0.011 0.011 
0.717 0.011 0.011 
0.850 0.011 0.011 
0.567 0.011 0.011 
0.551 0.011 0.011 
0.868 0.011 0.011 
0.267 0.011 0.011 
0.317 0.011 0.011 
0.349 0.011 0.011 
0.517 0.011 0.011 
0.867 0.011 0.011 
0.851 0.011 0.011 
0.250 0.011 0.011 
0.518 0.011 0.011 
0.618 0.011 0.011 
0.534 0.011 0.011 
0.733 0.011 0.011 
0.701 0.011 0.011 
0.434 0.011 0.011 
0.551 0.011 0.011 
0.218 0.011 0.011 
0.985 0.011 0.011 
0.335 0.011 0.011 
0.283 0.011 0.011 
0.500 0.011 0.011 
0.367 0.011 0.011 
0.600 0.011 0.011 
0.467 0.011 0.011 
0.968 0.011 0.011 
0.934 0.011 0.011 
0.250 0.011 0.011 
0.800 0.011 0.011 
0.418 0.011 0.011 
0.535 0.011 0.011 
0.633 0.011 0.011 
0.951 0.011 0.011 
0.534 0.011 0.011 
0.984 0.011 0.011 
